dataset,family,series,sample,elements,size_bucket,bins,shape,gib_per_s,speedup_vs_main,speedup_vs_noncooperative
c32,even,main,I32,1048576,small,128,stale_resident:0.5,216.70568829665285,1.0,
c32,even,main,I32,1048576,small,128,stale_resident:0.25,212.51058141730383,1.0,
c32,even,main,I32,1048576,small,128,temporal_phases:0.10,222.73348851403188,1.0,
c32,even,main,I32,1048576,small,128,strided_sweep,219.29544963479765,1.0,
c32,even,main,I32,1048576,small,128,sawtooth,218.1292943092721,1.0,
c32,even,main,I32,1048576,small,128,poison,219.64170381470902,1.0,
c32,even,main,I32,1048576,small,128,sawtooth:8192:2654435761:1,219.39674811296953,1.0,
c32,even,main,I32,1048576,small,256,concentrated:1.0,224.5132246419828,1.0,
c32,even,main,I32,1048576,small,256,concentrated:0.75,219.42769142364222,1.0,
c32,even,main,I32,1048576,small,256,concentrated:0.5,221.27737294144958,1.0,
c32,even,main,I32,1048576,small,256,concentrated:0.25,219.4474796816485,1.0,
c32,even,main,I32,1048576,small,256,concentrated:0.0,222.27559764372228,1.0,
c32,even,main,I32,1048576,small,256,powerlaw:0.75,218.63094839718002,1.0,
c32,even,main,I32,1048576,small,256,powerlaw:0.25,218.66101142533552,1.0,
c32,even,main,I32,1048576,small,256,hash_synonym,212.62200600424487,1.0,
c32,even,main,I32,1048576,small,256,stale_resident:0.5,219.72662764402696,1.0,
c32,even,main,I32,1048576,small,256,stale_resident:0.25,219.17388867042433,1.0,
c32,even,main,I32,1048576,small,256,temporal_phases:0.10,222.06855251565574,1.0,
c32,even,main,I32,1048576,small,256,strided_sweep,212.5116961245231,1.0,
c32,even,main,I32,1048576,small,256,sawtooth,217.8511339842341,1.0,
c32,even,main,I32,1048576,small,256,poison,224.67173208991304,1.0,
c32,even,main,I32,1048576,small,256,sawtooth:8192:2654435761:1,219.20159858661114,1.0,
c32,even,main,I32,1048576,small,512,concentrated:1.0,190.5028857133896,1.0,
c32,even,main,I32,1048576,small,512,concentrated:0.75,173.6848548836004,1.0,
c32,even,main,I32,1048576,small,512,concentrated:0.5,177.9551507710508,1.0,
c32,even,main,I32,1048576,small,512,concentrated:0.25,194.47776893571074,1.0,
c32,even,main,I32,1048576,small,512,concentrated:0.0,222.0712179831141,1.0,
c32,even,main,I32,1048576,small,512,powerlaw:0.75,185.10492624332556,1.0,
c32,even,main,I32,1048576,small,512,powerlaw:0.25,200.5778365223783,1.0,
c32,even,main,I32,1048576,small,512,hash_synonym,210.61421209665343,1.0,
c32,even,main,I32,1048576,small,512,stale_resident:0.5,180.09970408814297,1.0,
c32,even,main,I32,1048576,small,512,stale_resident:0.25,180.62064372088767,1.0,
c32,even,main,I32,1048576,small,512,temporal_phases:0.10,221.83178112667494,1.0,
c32,even,main,I32,1048576,small,512,strided_sweep,169.7162243260818,1.0,
c32,even,main,I32,1048576,small,512,sawtooth,171.36504117427222,1.0,
c32,even,main,I32,1048576,small,512,poison,220.18835977089998,1.0,
c32,even,main,I32,1048576,small,512,sawtooth:8192:2654435761:1,164.70342055090384,1.0,
c32,even,main,I32,16777216,small,8,concentrated:1.0,566.3309103371475,1.0,
c32,even,main,I32,16777216,small,8,concentrated:0.75,565.7461384873312,1.0,
c32,even,main,I32,16777216,small,8,concentrated:0.5,586.2521600744914,1.0,
c32,even,main,I32,16777216,small,8,concentrated:0.25,668.0352360801659,1.0,
c32,even,main,I32,16777216,small,8,concentrated:0.0,698.3259469517142,1.0,
c32,even,main,I32,16777216,small,8,powerlaw:0.75,565.0077680174516,1.0,
c32,even,main,I32,16777216,small,8,powerlaw:0.25,567.4455971143196,1.0,
c32,even,main,I32,16777216,small,8,hash_synonym,606.3910810573219,1.0,
c32,even,main,I32,16777216,small,8,stale_resident:0.5,566.2468622515877,1.0,
c32,even,main,I32,16777216,small,8,stale_resident:0.25,565.8167992656261,1.0,
c32,even,main,I32,16777216,small,8,temporal_phases:0.10,698.4596162492311,1.0,
c32,even,main,I32,16777216,small,8,strided_sweep,673.4515894497237,1.0,
c32,even,main,I32,16777216,small,8,sawtooth,672.8653044982769,1.0,
c32,even,main,I32,16777216,small,8,poison,698.4257933291424,1.0,
c32,even,main,I32,16777216,small,8,sawtooth:8192:2654435761:1,674.5153308444626,1.0,
c32,even,main,I32,16777216,small,16,concentrated:1.0,567.3386187940386,1.0,
c32,even,main,I32,16777216,small,16,concentrated:0.75,568.6633611579155,1.0,
c32,even,main,I32,16777216,small,16,concentrated:0.5,607.4152602916879,1.0,
c32,even,main,I32,16777216,small,16,concentrated:0.25,663.6813034409774,1.0,
c32,even,main,I32,16777216,small,16,concentrated:0.0,698.3012730762373,1.0,
c32,even,main,I32,16777216,small,16,powerlaw:0.75,590.9085368799099,1.0,
c32,even,main,I32,16777216,small,16,powerlaw:0.25,664.1461616870698,1.0,
c32,even,main,I32,16777216,small,16,hash_synonym,628.9542995419997,1.0,
c32,even,main,I32,16777216,small,16,stale_resident:0.5,567.9727449054607,1.0,
c32,even,main,I32,16777216,small,16,stale_resident:0.25,567.921943398266,1.0,
c32,even,main,I32,16777216,small,16,temporal_phases:0.10,698.2854331289101,1.0,
c32,even,main,I32,16777216,small,16,strided_sweep,625.4012134953033,1.0,
c32,even,main,I32,16777216,small,16,sawtooth,630.6063249536834,1.0,
c32,even,main,I32,16777216,small,16,poison,697.3137107683066,1.0,
c32,even,main,I32,16777216,small,16,sawtooth:8192:2654435761:1,627.9749240071932,1.0,
c32,even,main,I32,16777216,small,32,concentrated:1.0,580.0953742158259,1.0,
c32,even,main,I32,16777216,small,32,concentrated:0.75,580.4765217974309,1.0,
c32,even,main,I32,16777216,small,32,concentrated:0.5,622.8615816373949,1.0,
c32,even,main,I32,16777216,small,32,concentrated:0.25,663.8852872547587,1.0,
c32,even,main,I32,16777216,small,32,concentrated:0.0,698.395575452398,1.0,
c32,even,main,I32,16777216,small,32,powerlaw:0.75,590.6757536901816,1.0,
c32,even,main,I32,16777216,small,32,powerlaw:0.25,658.0402208360355,1.0,
c32,even,main,I32,16777216,small,32,hash_synonym,648.3173388154669,1.0,
c32,even,main,I32,16777216,small,32,stale_resident:0.5,579.5430796618257,1.0,
c32,even,main,I32,16777216,small,32,stale_resident:0.25,579.1845780868994,1.0,
c32,even,main,I32,16777216,small,32,temporal_phases:0.10,698.5538207639962,1.0,
c32,even,main,I32,16777216,small,32,strided_sweep,650.7634750713099,1.0,
c32,even,main,I32,16777216,small,32,sawtooth,654.5389676460969,1.0,
c32,even,main,I32,16777216,small,32,poison,697.524834508301,1.0,
c32,even,main,I32,16777216,small,32,sawtooth:8192:2654435761:1,655.3156900260467,1.0,
c32,even,main,I32,16777216,small,64,concentrated:1.0,606.6367974695429,1.0,
c32,even,main,I32,16777216,small,64,concentrated:0.75,601.7591493258773,1.0,
c32,even,main,I32,16777216,small,64,concentrated:0.5,629.7410445720052,1.0,
c32,even,main,I32,16777216,small,64,concentrated:0.25,660.0104269360806,1.0,
c32,even,main,I32,16777216,small,64,concentrated:0.0,698.4136303586031,1.0,
c32,even,main,I32,16777216,small,64,powerlaw:0.75,643.5199477501591,1.0,
c32,even,main,I32,16777216,small,64,powerlaw:0.25,668.0856707447857,1.0,
c32,even,main,I32,16777216,small,64,hash_synonym,656.1340584561981,1.0,
c32,even,main,I32,16777216,small,64,stale_resident:0.5,602.5478988379808,1.0,
c32,even,main,I32,16777216,small,64,stale_resident:0.25,602.767577088432,1.0,
c32,even,main,I32,16777216,small,64,temporal_phases:0.10,698.2070587307438,1.0,
c32,even,main,I32,16777216,small,64,strided_sweep,650.421992294853,1.0,
c32,even,main,I32,16777216,small,64,sawtooth,654.46815222654,1.0,
c32,even,main,I32,16777216,small,64,poison,697.6896809424857,1.0,
c32,even,main,I32,16777216,small,64,sawtooth:8192:2654435761:1,654.7377805345944,1.0,
c32,even,main,I32,16777216,small,128,concentrated:1.0,635.0302992127845,1.0,
c32,even,main,I32,16777216,small,128,concentrated:0.75,625.5937152785168,1.0,
c32,even,main,I32,16777216,small,128,concentrated:0.5,644.051400066459,1.0,
c32,even,main,I32,16777216,small,128,concentrated:0.25,661.840532438432,1.0,
c32,even,main,I32,16777216,small,128,concentrated:0.0,698.4610384720112,1.0,
c32,even,main,I32,16777216,small,128,powerlaw:0.75,644.0385620978855,1.0,
c32,even,main,I32,16777216,small,128,powerlaw:0.25,667.7762108603514,1.0,
c32,even,main,I32,16777216,small,128,hash_synonym,662.8301344797687,1.0,
c32,even,main,I32,16777216,small,128,stale_resident:0.5,630.9214167904343,1.0,
c32,even,main,I32,16777216,small,128,stale_resident:0.25,630.426088779455,1.0,
c32,even,main,I32,16777216,small,128,temporal_phases:0.10,698.3237395732161,1.0,
c32,even,main,I32,16777216,small,128,strided_sweep,650.0161321289538,1.0,
c32,even,main,I32,16777216,small,128,sawtooth,653.9739378061291,1.0,
c32,even,main,I32,16777216,small,128,poison,697.4423543983833,1.0,
c32,even,main,I32,16777216,small,128,sawtooth:8192:2654435761:1,654.3424339105956,1.0,
