dataset,family,series,comparison,rank,ratio,sample,elements,bins,shape
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,1,0.8765298382460778,F64,1048576,8,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,2,0.8767000278292041,F64,1048576,512,stale_resident:0.25
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,3,0.877510288941607,F64,1048576,16,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,4,0.8799981752994365,F64,1048576,512,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,5,0.8861835850279366,F64,1048576,256,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,6,0.8865542291094562,F64,1048576,8,stale_resident:0.25
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,7,0.8908076158069607,F64,1048576,256,powerlaw:0.75
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,8,0.8928386393743829,F64,1048576,64,poison
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,9,0.899107180456469,F64,1048576,16,stale_resident:0.25
c32,even,smem_cooperative_dynamic,speedup_vs_noncooperative,10,0.902542910218298,F64,1048576,32,poison
c32,range,smem_static,speedup_vs_main,1,0.797226577742229,I32,1073741824,8,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,2,0.7976469429904349,I32,2000000000,8,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,3,0.7987205849535732,I32,268435456,8,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,4,0.802229106573831,I32,67108864,8,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,5,0.8027158993652956,I32,16777216,8,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,6,0.8471108695365095,F64,2000000000,8,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,7,0.8476939427614845,F64,1073741824,8,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,8,0.8502175956958378,F64,67108864,8,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,9,0.8514413944524636,I32,16777216,16,temporal_phases:0.10
c32,range,smem_static,speedup_vs_main,10,0.8520169008809347,F64,268435456,8,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,1,0.7527975427512872,I32,16777216,8,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,2,0.7892833088682852,I32,16777216,16,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,3,0.798065230232014,I32,1073741824,8,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,4,0.798269989571914,I32,2000000000,8,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,5,0.7989834671552314,I32,268435456,8,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,6,0.8016495861999456,I32,67108864,8,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,7,0.8507857211663223,F64,67108864,8,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,8,0.8527917729668913,I32,16777216,32,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,9,0.8535455455123917,F64,2000000000,8,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_main,10,0.8544424897548917,F64,1073741824,8,temporal_phases:0.10
c32,range,smem_cooperative_static,speedup_vs_noncooperative,1,0.9196799141112872,I32,16777216,8,concentrated:1.0
c32,range,smem_cooperative_static,speedup_vs_noncooperative,2,0.9196822840284649,I32,16777216,16,poison
c32,range,smem_cooperative_static,speedup_vs_noncooperative,3,0.920020224145157,I32,16777216,8,powerlaw:0.75
c32,range,smem_cooperative_static,speedup_vs_noncooperative,4,0.9200508688981472,I32,16777216,16,concentrated:1.0
c32,range,smem_cooperative_static,speedup_vs_noncooperative,5,0.9214641935739948,I32,16777216,32,strided_sweep
c32,range,smem_cooperative_static,speedup_vs_noncooperative,6,0.9217689435343731,I32,16777216,32,sawtooth
c32,range,smem_cooperative_static,speedup_vs_noncooperative,7,0.9221505752066268,I32,16777216,32,stale_resident:0.25
c32,range,smem_cooperative_static,speedup_vs_noncooperative,8,0.9232331375063075,I32,16777216,32,sawtooth:8192:2654435761:1
c32,range,smem_cooperative_static,speedup_vs_noncooperative,9,0.9235628763223105,I32,16777216,32,stale_resident:0.5
c32,range,smem_cooperative_static,speedup_vs_noncooperative,10,0.9238194839770766,I32,16777216,16,concentrated:0.25
c32,range,smem_dynamic,speedup_vs_main,1,0.6656572377021035,I32,1073741824,8,temporal_phases:0.10
c32,range,smem_dynamic,speedup_vs_main,2,0.6658387737167644,I32,2000000000,8,temporal_phases:0.10
c32,range,smem_dynamic,speedup_vs_main,3,0.667060976990541,I32,67108864,8,temporal_phases:0.10
c32,range,smem_dynamic,speedup_vs_main,4,0.6676366592953485,I32,268435456,8,temporal_phases:0.10
c32,range,smem_dynamic,speedup_vs_main,5,0.6874715141643333,I32,16777216,8,temporal_phases:0.10
c32,range,smem_dynamic,speedup_vs_main,6,0.7377703715589276,I32,67108864,16,temporal_phases:0.10
c32,range,smem_dynamic,speedup_vs_main,7,0.7428827528280865,I32,268435456,16,temporal_phases:0.10
c32,range,smem_dynamic,speedup_vs_main,8,0.7431085233784884,I32,1073741824,16,temporal_phases:0.10
c32,range,smem_dynamic,speedup_vs_main,9,0.7435053243044818,I32,2000000000,16,temporal_phases:0.10
c32,range,smem_dynamic,speedup_vs_main,10,0.7454363284744883,I32,16777216,16,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,1,0.6352406168765585,I32,16777216,8,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,2,0.6655870392075647,I32,1073741824,8,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,3,0.6656861625211942,I32,2000000000,8,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,4,0.667215492936047,I32,67108864,8,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,5,0.6673084422648458,I32,268435456,8,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,6,0.6902487851867838,I32,16777216,16,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,7,0.7387999776543287,I32,67108864,16,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,8,0.7425133022405912,I32,268435456,16,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,9,0.743074171125731,I32,1073741824,16,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_main,10,0.7432437124461817,I32,2000000000,16,temporal_phases:0.10
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,1,0.9157763045487538,I32,16777216,8,concentrated:1.0
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,2,0.91737316365733,I32,1048576,8,concentrated:1.0
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,3,0.9175990270190677,I32,16777216,16,concentrated:1.0
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,4,0.9203825190740538,I32,16777216,32,powerlaw:0.25
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,5,0.9207327280154818,I32,16777216,64,powerlaw:0.25
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,6,0.9207575704684998,I32,16777216,32,strided_sweep
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,7,0.9216637224100007,I32,16777216,512,concentrated:1.0
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,8,0.9217713998848848,I32,16777216,32,concentrated:1.0
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,9,0.9219642355684693,I32,16777216,16,powerlaw:0.25
c32,range,smem_cooperative_dynamic,speedup_vs_noncooperative,10,0.9220969965335303,I32,16777216,32,sawtooth
c32,multi_even,smem_static,speedup_vs_main,1,1.00662590156019,F64,1048576,32,strided_sweep
c32,multi_even,smem_static,speedup_vs_main,2,1.0104720397583087,F64,1048576,32,concentrated:1.0
c32,multi_even,smem_static,speedup_vs_main,3,1.01453394209367,F64,1048576,16,concentrated:1.0
c32,multi_even,smem_static,speedup_vs_main,4,1.0156179200941355,F64,1048576,32,sawtooth
c32,multi_even,smem_static,speedup_vs_main,5,1.0213945003670006,F64,1048576,32,sawtooth:8192:2654435761:1
c32,multi_even,smem_static,speedup_vs_main,6,1.0231390602657815,F64,1048576,16,stale_resident:0.5
c32,multi_even,smem_static,speedup_vs_main,7,1.0290132519533193,F64,1048576,32,stale_resident:0.5
c32,multi_even,smem_static,speedup_vs_main,8,1.0300986165751096,F64,1048576,8,concentrated:1.0
c32,multi_even,smem_static,speedup_vs_main,9,1.0310618041233832,F64,1048576,16,concentrated:0.75
c32,multi_even,smem_static,speedup_vs_main,10,1.031483229185122,F64,67108864,32,stale_resident:0.25
c32,multi_even,smem_cooperative_static,speedup_vs_main,1,0.9584969311249669,F64,1048576,32,concentrated:1.0
c32,multi_even,smem_cooperative_static,speedup_vs_main,2,0.965176188103772,F64,1048576,16,concentrated:1.0
c32,multi_even,smem_cooperative_static,speedup_vs_main,3,0.9709917603443046,F64,1048576,8,concentrated:1.0
c32,multi_even,smem_cooperative_static,speedup_vs_main,4,0.9977420827136646,F64,1048576,32,strided_sweep
c32,multi_even,smem_cooperative_static,speedup_vs_main,5,1.00296391323668,F64,1048576,32,sawtooth
c32,multi_even,smem_cooperative_static,speedup_vs_main,6,1.0052452505468428,F64,1048576,32,sawtooth:8192:2654435761:1
c32,multi_even,smem_cooperative_static,speedup_vs_main,7,1.009263841340992,F64,1048576,16,stale_resident:0.25
c32,multi_even,smem_cooperative_static,speedup_vs_main,8,1.0118902559426886,F64,1048576,16,stale_resident:0.5
c32,multi_even,smem_cooperative_static,speedup_vs_main,9,1.0123570990245259,F64,1048576,32,stale_resident:0.5
c32,multi_even,smem_cooperative_static,speedup_vs_main,10,1.0132199096916477,F64,1048576,8,stale_resident:0.25
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,1,0.9151338212391429,I32,1048576,128,concentrated:1.0
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,2,0.9179727360859528,I32,1048576,16,concentrated:1.0
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,3,0.9192822887362093,I32,1048576,32,concentrated:1.0
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,4,0.9193197644425737,I32,1048576,64,concentrated:1.0
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,5,0.9207284463527293,I32,1048576,256,concentrated:1.0
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,6,0.9213600707693921,I32,1048576,8,concentrated:1.0
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,7,0.9241123531930825,I32,1048576,32,sawtooth
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,8,0.9245756279417761,I32,1048576,8,powerlaw:0.75
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,9,0.9259171450917332,I32,1048576,16,sawtooth
c32,multi_even,smem_cooperative_static,speedup_vs_noncooperative,10,0.928361175424495,I32,1048576,64,strided_sweep
c32,multi_even,smem_dynamic,speedup_vs_main,1,0.690258004531957,F64,268435456,8,poison
c32,multi_even,smem_dynamic,speedup_vs_main,2,0.6903125757890545,F64,268435456,16,poison
c32,multi_even,smem_dynamic,speedup_vs_main,3,0.6903191376010364,F64,268435456,128,concentrated:0.0
c32,multi_even,smem_dynamic,speedup_vs_main,4,0.6903307221848755,F64,268435456,64,poison
c32,multi_even,smem_dynamic,speedup_vs_main,5,0.6903547422174968,F64,268435456,64,concentrated:0.0
c32,multi_even,smem_dynamic,speedup_vs_main,6,0.6903555186435483,F64,268435456,16,concentrated:0.0
c32,multi_even,smem_dynamic,speedup_vs_main,7,0.6903572291833879,F64,268435456,32,concentrated:0.0
c32,multi_even,smem_dynamic,speedup_vs_main,8,0.6903680668984795,F64,268435456,128,poison
c32,multi_even,smem_dynamic,speedup_vs_main,9,0.6903886560781083,F64,268435456,8,concentrated:0.0
c32,multi_even,smem_dynamic,speedup_vs_main,10,0.6904709779912485,F64,268435456,32,poison
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,1,0.690142999570797,F64,268435456,8,poison
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,2,0.6901615848982654,F64,268435456,32,concentrated:0.0
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,3,0.6902113149644978,F64,268435456,16,poison
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,4,0.6902274195890536,F64,268435456,8,concentrated:0.0
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,5,0.6902343836165356,F64,268435456,64,poison
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,6,0.6902495262942105,F64,268435456,64,concentrated:0.0
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,7,0.6902884277051826,F64,268435456,128,poison
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,8,0.6903142223814231,F64,268435456,16,concentrated:0.0
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,9,0.6903545354316452,F64,268435456,128,concentrated:0.0
c32,multi_even,smem_cooperative_dynamic,speedup_vs_main,10,0.6904050773721727,F64,268435456,32,poison
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,1,0.9139029789240799,F64,1048576,64,powerlaw:0.75
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,2,0.9146120703407461,F64,1048576,128,concentrated:0.75
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,3,0.9181296286658767,F64,1048576,64,concentrated:0.75
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,4,0.923607937570622,I32,1048576,128,concentrated:1.0
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,5,0.9252153866528182,I32,1048576,64,concentrated:1.0
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,6,0.9265551105792403,I32,1048576,32,concentrated:1.0
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,7,0.9293389066350872,I32,1048576,128,concentrated:0.75
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,8,0.932997920198446,F64,1048576,32,powerlaw:0.75
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,9,0.9335319720611499,F64,1048576,128,concentrated:0.25
c32,multi_even,smem_cooperative_dynamic,speedup_vs_noncooperative,10,0.9340594054671947,F64,1048576,16,concentrated:0.75
c32,multi_range,smem_static,speedup_vs_main,1,0.7815448522021947,I32,268435456,8,temporal_phases:0.10
c32,multi_range,smem_static,speedup_vs_main,2,0.7900169980058402,I32,67108864,8,temporal_phases:0.10
c32,multi_range,smem_static,speedup_vs_main,3,0.8116292303323843,I32,16777216,8,temporal_phases:0.10
c32,multi_range,smem_static,speedup_vs_main,4,0.8461432928403683,I32,268435456,16,temporal_phases:0.10
c32,multi_range,smem_static,speedup_vs_main,5,0.8520916716603787,I32,67108864,16,temporal_phases:0.10
c32,multi_range,smem_static,speedup_vs_main,6,0.8679856596497338,I32,16777216,16,temporal_phases:0.10
c32,multi_range,smem_static,speedup_vs_main,7,0.9110328378336552,F64,16777216,32,sawtooth:8192:2654435761:1
c32,multi_range,smem_static,speedup_vs_main,8,0.9118436917291071,F64,16777216,32,sawtooth
c32,multi_range,smem_static,speedup_vs_main,9,0.9122595016040701,F64,16777216,32,strided_sweep
c32,multi_range,smem_static,speedup_vs_main,10,0.9138315815131648,I32,268435456,32,temporal_phases:0.10
c32,multi_range,smem_cooperative_static,speedup_vs_main,1,0.7769620839592771,I32,1048576,8,temporal_phases:0.10
c32,multi_range,smem_cooperative_static,speedup_vs_main,2,0.7802259076166306,I32,268435456,8,temporal_phases:0.10
c32,multi_range,smem_cooperative_static,speedup_vs_main,3,0.7886761020034916,I32,67108864,8,temporal_phases:0.10
c32,multi_range,smem_cooperative_static,speedup_vs_main,4,0.79273470249154,I32,1048576,64,temporal_phases:0.10
c32,multi_range,smem_cooperative_static,speedup_vs_main,5,0.7928141230731359,I32,1048576,16,temporal_phases:0.10
c32,multi_range,smem_cooperative_static,speedup_vs_main,6,0.799194831474902,F64,1048576,16,sawtooth:8192:2654435761:1
c32,multi_range,smem_cooperative_static,speedup_vs_main,7,0.7998539496076355,I32,1048576,32,temporal_phases:0.10
c32,multi_range,smem_cooperative_static,speedup_vs_main,8,0.8006968262611658,F64,1048576,16,sawtooth
c32,multi_range,smem_cooperative_static,speedup_vs_main,9,0.802312217065498,F64,1048576,32,sawtooth:8192:2654435761:1
c32,multi_range,smem_cooperative_static,speedup_vs_main,10,0.8043183745426994,F64,1048576,32,sawtooth
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,1,0.7733026235782477,I32,1048576,32,concentrated:0.0
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,2,0.7753954681408296,I32,1048576,8,concentrated:0.5
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,3,0.7788589483945806,I32,1048576,64,powerlaw:0.75
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,4,0.7791131605768682,I32,1048576,16,concentrated:0.0
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,5,0.7796845160352192,I32,1048576,8,concentrated:0.25
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,6,0.7806401019680278,I32,1048576,64,concentrated:1.0
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,7,0.782216560326179,I32,1048576,64,concentrated:0.0
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,8,0.78254742873686,I32,1048576,128,concentrated:0.0
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,9,0.7831119106285418,I32,1048576,128,hash_synonym
c32,multi_range,smem_cooperative_static,speedup_vs_noncooperative,10,0.7834512612814835,I32,1048576,64,hash_synonym
c32,multi_range,smem_dynamic,speedup_vs_main,1,0.6706364327525738,I32,1048576,8,temporal_phases:0.10
c32,multi_range,smem_dynamic,speedup_vs_main,2,0.6973701861695001,I32,1048576,16,temporal_phases:0.10
c32,multi_range,smem_dynamic,speedup_vs_main,3,0.7264141933607844,I32,1048576,8,hash_synonym
c32,multi_range,smem_dynamic,speedup_vs_main,4,0.7285500559634778,I32,1048576,8,concentrated:0.75
c32,multi_range,smem_dynamic,speedup_vs_main,5,0.7297847199471377,I32,1048576,8,concentrated:0.0
c32,multi_range,smem_dynamic,speedup_vs_main,6,0.7315360144179646,I32,268435456,8,temporal_phases:0.10
c32,multi_range,smem_dynamic,speedup_vs_main,7,0.7346689580630682,I32,1048576,8,poison
c32,multi_range,smem_dynamic,speedup_vs_main,8,0.7363916598978569,I32,16777216,8,temporal_phases:0.10
c32,multi_range,smem_dynamic,speedup_vs_main,9,0.7377852702283489,I32,1048576,32,temporal_phases:0.10
c32,multi_range,smem_dynamic,speedup_vs_main,10,0.7378790004548414,I32,1048576,8,concentrated:0.5
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,1,0.6797863643168991,I32,1048576,8,temporal_phases:0.10
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,2,0.7009277148342974,I32,1048576,16,temporal_phases:0.10
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,3,0.710713306203295,I32,16777216,8,temporal_phases:0.10
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,4,0.7306174862562383,I32,268435456,8,temporal_phases:0.10
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,5,0.7370425435811787,I32,67108864,8,temporal_phases:0.10
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,6,0.7385547618640051,I32,1048576,8,concentrated:0.0
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,7,0.7404086760218698,I32,1048576,8,hash_synonym
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,8,0.7412499026989782,I32,1048576,8,poison
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,9,0.7454624542044855,I32,1048576,32,temporal_phases:0.10
c32,multi_range,smem_cooperative_dynamic,speedup_vs_main,10,0.7466245436757484,I32,1048576,8,concentrated:0.5
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,1,0.9368986802814175,I32,1048576,512,powerlaw:0.25
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,2,0.9392336914980369,I32,1048576,512,concentrated:0.25
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,3,0.9454916595246738,I32,1048576,512,concentrated:0.5
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,4,0.9473959809110799,I32,1048576,512,concentrated:0.0
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,5,0.9483131520690741,I32,1048576,512,sawtooth
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,6,0.9495918488395962,I32,16777216,512,stale_resident:0.25
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,7,0.9496733776871883,I32,16777216,512,stale_resident:0.5
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,8,0.9502634979741631,I32,16777216,512,powerlaw:0.75
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,9,0.9513787861748807,I32,16777216,512,sawtooth:8192:2654435761:1
c32,multi_range,smem_cooperative_dynamic,speedup_vs_noncooperative,10,0.9517603408657174,I32,16777216,512,concentrated:1.0
u64,even,smem_static,speedup_vs_main,1,0.913160226971728,F64,67108864,256,temporal_phases:0.10
u64,even,smem_static,speedup_vs_main,2,0.9141766632399511,F64,67108864,128,temporal_phases:0.10
u64,even,smem_static,speedup_vs_main,3,0.9158652469660391,F64,67108864,64,temporal_phases:0.10
u64,even,smem_static,speedup_vs_main,4,0.9193978205676859,F64,67108864,32,temporal_phases:0.10
u64,even,smem_static,speedup_vs_main,5,0.9212354456109777,F64,67108864,16,temporal_phases:0.10
u64,even,smem_static,speedup_vs_main,6,0.922697893676042,F64,2000000000,256,temporal_phases:0.10
u64,even,smem_static,speedup_vs_main,7,0.9227638408538666,F64,268435456,256,temporal_phases:0.10
u64,even,smem_static,speedup_vs_main,8,0.9227777264141772,F64,1073741824,256,temporal_phases:0.10
u64,even,smem_static,speedup_vs_main,9,0.9237409139916576,F64,67108864,8,temporal_phases:0.10
